ward,precinct,office,district,party,candidate,votes
3,28,ANC - 3B01 SINGLE MEMBER DISTRICT 01-ANC 3B,,,OVER VOTES,0
3,28,ANC - 3B01 SINGLE MEMBER DISTRICT 01-ANC 3B,,,UNDER VOTES,67
3,28,ANC - 3B04 SINGLE MEMBER DISTRICT 04-ANC 3B,,NON,Mary C. Young,985
3,28,ANC - 3B04 SINGLE MEMBER DISTRICT 04-ANC 3B,,NON,WRITE-IN,27
3,28,ANC - 3B04 SINGLE MEMBER DISTRICT 04-ANC 3B,,,OVER VOTES,0
3,28,ANC - 3B04 SINGLE MEMBER DISTRICT 04-ANC 3B,,,UNDER VOTES,398
3,28,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,NON,Maureen Kinlan Boucher,691
3,28,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,NON,WRITE-IN,24
3,28,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,,OVER VOTES,0
3,28,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,,UNDER VOTES,266
3,28,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Bob Ward,32
3,28,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Nancy J. MacWood,43
3,28,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,WRITE-IN,1
3,28,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,OVER VOTES,0
3,28,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,UNDER VOTES,24
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,46
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,33
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,102
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1295
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,32
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,29,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,6
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,115
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1170
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,146
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,12
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
3,29,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,71
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,88
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,110
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,191
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,250
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,632
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1000
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,6
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,29,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,719
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,499
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,115
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,417
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,25
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,0
3,29,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,442
3,29,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,Emma Hersh,43
3,29,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,Margaret A. Siegel,40
3,29,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,NON,WRITE-IN,3
3,29,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,,OVER VOTES,0
3,29,ANC - 3C05 SINGLE MEMBER DISTRICT 05-ANC 3C,,,UNDER VOTES,26
3,29,ANC - 3C06 SINGLE MEMBER DISTRICT 06-ANC 3C,,NON,Angela Bradbery,948
3,29,ANC - 3C06 SINGLE MEMBER DISTRICT 06-ANC 3C,,NON,WRITE-IN,19
3,29,ANC - 3C06 SINGLE MEMBER DISTRICT 06-ANC 3C,,,OVER VOTES,1
3,29,ANC - 3C06 SINGLE MEMBER DISTRICT 06-ANC 3C,,,UNDER VOTES,229
3,29,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,NON,Maureen Kinlan Boucher,43
3,29,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,NON,WRITE-IN,1
3,29,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,,OVER VOTES,0
3,29,ANC - 3C07 SINGLE MEMBER DISTRICT 07-ANC 3C,,,UNDER VOTES,14
3,29,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Bob Ward,1
3,29,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,Nancy J. MacWood,6
3,29,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,NON,WRITE-IN,0
3,29,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,OVER VOTES,0
3,29,ANC - 3C09 SINGLE MEMBER DISTRICT 09-ANC 3C,,,UNDER VOTES,3
3,29,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,Silvia Lucero,2
3,29,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,WRITE-IN,0
3,29,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,OVER VOTES,0
3,29,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,UNDER VOTES,0
3,29,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,David Dickinson,86
3,29,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,WRITE-IN,7
3,29,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,OVER VOTES,0
3,29,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,UNDER VOTES,26
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,30
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,14
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,130
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,1227
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,47
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
3,30,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,5
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,98
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,1132
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,123
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,25
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
3,30,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,75
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,50
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,71
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,90
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,241
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,760
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,990
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,19
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,2
3,30,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,667
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,569
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,79
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,423
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,21
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
3,30,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,351
3,30,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,Silvia Lucero,4
3,30,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,NON,WRITE-IN,0
3,30,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,OVER VOTES,0
3,30,ANC - 3D10 SINGLE MEMBER DISTRICT 10-ANC 3D,,,UNDER VOTES,0
3,30,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,Anne Wallace,362
3,30,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,WRITE-IN,17
3,30,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,OVER VOTES,0
3,30,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,UNDER VOTES,106
3,30,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,NON,Amy B. Hall,147
3,30,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,NON,WRITE-IN,15
3,30,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,,OVER VOTES,0
3,30,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,,UNDER VOTES,55
3,30,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,NON,Jonathan McHugh,525
3,30,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,NON,WRITE-IN,25
3,30,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,,OVER VOTES,0
3,30,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,,UNDER VOTES,189
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,52
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,35
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,209
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2236
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,70
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
3,31,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,20
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,146
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2120
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,207
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,31
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,1
3,31,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,118
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,106
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,126
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,206
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,368
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1307
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,1805
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,26
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,31,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1256
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1055
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,174
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,613
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,40
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,2
3,31,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,716
3,31,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,Anne Wallace,437
3,31,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,WRITE-IN,17
3,31,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,OVER VOTES,1
3,31,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,UNDER VOTES,154
3,31,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,NON,Amy B. Hall,745
3,31,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,NON,WRITE-IN,17
3,31,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,,OVER VOTES,0
3,31,ANC - 3E02 SINGLE MEMBER DISTRICT 02-ANC 3E,,,UNDER VOTES,231
3,31,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,NON,Jonathan Bender,747
3,31,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,NON,WRITE-IN,49
3,31,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,,OVER VOTES,0
3,31,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,,UNDER VOTES,202
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,39
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,29
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,183
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2497
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,61
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,32,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,11
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,157
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2302
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,194
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,41
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,0
3,32,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,126
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,97
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,120
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,218
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,377
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1362
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2001
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,38
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,2
3,32,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1381
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1251
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,209
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,547
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,49
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,1
3,32,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,741
3,32,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,Anne Wallace,17
3,32,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,WRITE-IN,1
3,32,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,OVER VOTES,0
3,32,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,UNDER VOTES,2
3,32,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,NON,Jonathan Bender,168
3,32,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,NON,WRITE-IN,5
3,32,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,,OVER VOTES,0
3,32,ANC - 3E03 SINGLE MEMBER DISTRICT 03-ANC 3E,,,UNDER VOTES,32
3,32,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,NON,Tom Quinn,837
3,32,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,NON,WRITE-IN,43
3,32,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,,OVER VOTES,0
3,32,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,,UNDER VOTES,243
3,32,ANC - 3G06 SINGLE MEMBER DISTRICT 06-ANC 3G,,NON,Dan Bradfield,613
3,32,ANC - 3G06 SINGLE MEMBER DISTRICT 06-ANC 3G,,NON,WRITE-IN,19
3,32,ANC - 3G06 SINGLE MEMBER DISTRICT 06-ANC 3G,,,OVER VOTES,1
3,32,ANC - 3G06 SINGLE MEMBER DISTRICT 06-ANC 3G,,,UNDER VOTES,218
3,32,ANC - 3G07 SINGLE MEMBER DISTRICT 07-ANC 3G,,NON,Chris Fromboluti,279
3,32,ANC - 3G07 SINGLE MEMBER DISTRICT 07-ANC 3G,,NON,Sandra Brown Gage,166
3,32,ANC - 3G07 SINGLE MEMBER DISTRICT 07-ANC 3G,,NON,WRITE-IN,12
3,32,ANC - 3G07 SINGLE MEMBER DISTRICT 07-ANC 3G,,,OVER VOTES,0
3,32,ANC - 3G07 SINGLE MEMBER DISTRICT 07-ANC 3G,,,UNDER VOTES,142
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,57
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,36
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,176
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,2704
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,62
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,1
3,33,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,12
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,195
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,2458
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,LIB,Martin Moulton,221
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,NON,WRITE-IN,32
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,OVER VOTES,4
3,33,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,,UNDER VOTES,138
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,LIB,Matthew Klokel,142
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,John C. Cheeks,130
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,STG,G. Lee Aikin,275
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,REP,Carolina Celnik,370
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,IND,David Grosso,1547
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,DEM,Robert White,2150
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,NON,WRITE-IN,23
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,OVER VOTES,0
3,33,AT - LARGE MEMBER OF THE COUNCIL DISTRICT OF COLUMBIA,At Large,,UNDER VOTES,1391
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Mary Lord,1284
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Tony Donaldson Jr.,179
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,Ashley Carter,681
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,NON,WRITE-IN,53
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,OVER VOTES,4
3,33,AT - LARGE MEMBER STATE BOARD OF EDUCATION,At Large,,UNDER VOTES,813
3,33,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,Anne Wallace,84
3,33,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,NON,WRITE-IN,6
3,33,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,OVER VOTES,0
3,33,ANC - 3E01 SINGLE MEMBER DISTRICT 01-ANC 3E,,,UNDER VOTES,26
3,33,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,NON,Tom Quinn,54
3,33,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,NON,WRITE-IN,1
3,33,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,,OVER VOTES,0
3,33,ANC - 3E04 SINGLE MEMBER DISTRICT 04-ANC 3E,,,UNDER VOTES,20
3,33,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,NON,Jonathan McHugh,120
3,33,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,NON,WRITE-IN,7
3,33,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,,OVER VOTES,0
3,33,ANC - 3E05 SINGLE MEMBER DISTRICT 05-ANC 3E,,,UNDER VOTES,34
3,33,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,David Dickinson,472
3,33,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,NON,WRITE-IN,8
3,33,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,OVER VOTES,0
3,33,ANC - 3F01 SINGLE MEMBER DISTRICT 01-ANC 3F,,,UNDER VOTES,124
3,33,ANC - 3F05 SINGLE MEMBER DISTRICT 05-ANC 3F,,NON,Andrea Molod,627
3,33,ANC - 3F05 SINGLE MEMBER DISTRICT 05-ANC 3F,,NON,WRITE-IN,15
3,33,ANC - 3F05 SINGLE MEMBER DISTRICT 05-ANC 3F,,,OVER VOTES,0
3,33,ANC - 3F05 SINGLE MEMBER DISTRICT 05-ANC 3F,,,UNDER VOTES,258
3,33,ANC - 3F06 SINGLE MEMBER DISTRICT 06-ANC 3F,,NON,Malachy Nugent,867
3,33,ANC - 3F06 SINGLE MEMBER DISTRICT 06-ANC 3F,,NON,WRITE-IN,24
3,33,ANC - 3F06 SINGLE MEMBER DISTRICT 06-ANC 3F,,,OVER VOTES,0
3,33,ANC - 3F06 SINGLE MEMBER DISTRICT 06-ANC 3F,,,UNDER VOTES,267
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,LIB,Gary Johnson - Bill Weld,101
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,STG,Jill Stein - Ajamu Baraka,47
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,REP,Donald J. Trump - Michael R. Pence,204
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,DEM,Hillary Clinton - Tim Kaine,3753
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,NON,WRITE-IN,96
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,OVER VOTES,0
3,34,ELECTORS OF PRESIDENT AND VICE PRESIDENT,,,UNDER VOTES,10
3,34,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,STG,Natale (Lino) Stracuzzi,245
3,34,DELEGATE TO THE U.S. HOUSE OF REPRESENTATIVES,,DEM,Eleanor Holmes Norton,3447
