county,office,district,town,precinct,candidate,party,votes,state_election_id
Essex,Attorney General,,Canaan,,Blanks,,40,82056
Rutland,Attorney General,,Castleton,,Blanks,,122,82056
Windsor,Attorney General,,Cavendish,,Blanks,,58,82056
Orleans,Attorney General,,Charleston,,Blanks,,26,82056
Chittenden,Attorney General,,Charlotte,,Blanks,,170,82056
Orange,Attorney General,,Chelsea,,Blanks,,36,82056
Windsor,Attorney General,,Chester,,Blanks,,98,82056
Rutland,Attorney General,,Chittenden,,Blanks,,59,82056
Rutland,Attorney General,,Clarendon,,Blanks,,70,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-1,Blanks,,180,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-2,Blanks,,259,82056
Essex,Attorney General,,Concord,,Blanks,,28,82056
Orange,Attorney General,,Corinth,,Blanks,,35,82056
Addison,Attorney General,,Cornwall,,Blanks,,43,82056
Orleans,Attorney General,,Coventry,,Blanks,,31,82056
Orleans,Attorney General,,Craftsbury,,Blanks,,64,82056
Rutland,Attorney General,,Danby,,Blanks,,43,82056
Caledonia,Attorney General,,Danville,,Blanks,,58,82056
Orleans,Attorney General,,Derby,,Blanks,,128,82056
Bennington,Attorney General,,Dorset,,Blanks,,102,82056
Windham,Attorney General,,Dover,,Blanks,,62,82056
Windham,Attorney General,,Dummerston,,Blanks,,72,82056
Washington,Attorney General,,Duxbury,,Blanks,,43,82056
Essex,Attorney General,,East Haven,,Blanks,,11,82056
Washington,Attorney General,,East Montpelier,,Blanks,,81,82056
Lamoille,Attorney General,,Eden,,Blanks,,33,82056
Lamoille,Attorney General,,Elmore,,Blanks,,27,82056
Franklin,Attorney General,,Enosburgh,,Blanks,,60,82056
Chittenden,Attorney General,,Essex,Chittenden 8-1,Blanks,,218,82056
Chittenden,Attorney General,,Essex,Chittenden 8-2,Blanks,,257,82056
Chittenden,Attorney General,,Essex,Chittenden 8-3,Blanks,,66,82056
Rutland,Attorney General,,Fair Haven,,Blanks,,70,82056
Franklin,Attorney General,,Fairfax,,Blanks,,110,82056
Franklin,Attorney General,,Fairfield,,Blanks,,55,82056
Orange,Attorney General,,Fairlee,,Blanks,,42,82056
Washington,Attorney General,,Fayston,,Blanks,,67,82056
Addison,Attorney General,,Ferrisburgh,,Blanks,,56,82056
Franklin,Attorney General,,Fletcher,,Blanks,,33,82056
Franklin,Attorney General,,Franklin,,Blanks,,23,82056
Franklin,Attorney General,,Georgia,,Blanks,,93,82056
Orleans,Attorney General,,Glover,,Blanks,,29,82056
Addison,Attorney General,,Goshen,,Blanks,,9,82056
Windham,Attorney General,,Grafton,,Blanks,,37,82056
Essex,Attorney General,,Granby,,Blanks,,3,82056
Grand Isle,Attorney General,,Grand Isle,,Blanks,,41,82056
Addison,Attorney General,,Granville,,Blanks,,15,82056
Orleans,Attorney General,,Greensboro,,Blanks,,25,82056
Caledonia,Attorney General,,Groton,,Blanks,,40,82056
Essex,Attorney General,,Guildhall,,Blanks,,11,82056
Windham,Attorney General,,Guilford,,Blanks,,95,82056
Windham,Attorney General,,Halifax,,Blanks,,41,82056
Addison,Attorney General,,Hancock,,Blanks,,8,82056
Caledonia,Attorney General,,Hardwick,,Blanks,,81,82056
Windsor,Attorney General,,Hartford,Windsor 4-1,Blanks,,111,82056
Windsor,Attorney General,,Hartford,Windsor 4-2,Blanks,,283,82056
Windsor,Attorney General,,Hartland,,Blanks,,147,82056
Franklin,Attorney General,,Highgate,,Blanks,,53,82056
Chittenden,Attorney General,,Hinesburg,Chittenden 4-1,Blanks,,0,82056
Chittenden,Attorney General,,Hinesburg,Chittenden 4-2,Blanks,,144,82056
Orleans,Attorney General,,Holland,,Blanks,,22,82056
Rutland,Attorney General,,Hubbardton,,Blanks,,20,82056
Chittenden,Attorney General,,Huntington,,Blanks,,49,82056
Lamoille,Attorney General,,Hyde Park,,Blanks,,81,82056
Rutland,Attorney General,,Ira,,Blanks,,18,82056
Orleans,Attorney General,,Irasburg,,Blanks,,32,82056
Grand Isle,Attorney General,,Isle La Motte,,Blanks,,16,82056
Windham,Attorney General,,Jamaica,,Blanks,,40,82056
Orleans,Attorney General,,Jay,,Blanks,,15,82056
Chittenden,Attorney General,,Jericho,,Blanks,,171,82056
Lamoille,Attorney General,,Johnson,,Blanks,,87,82056
Rutland,Attorney General,,Killington,,Blanks,,52,82056
Caledonia,Attorney General,,Kirby,,Blanks,,12,82056
Bennington,Attorney General,,Landgrove,,Blanks,,6,82056
Addison,Attorney General,,Leicester,,Blanks,,31,82056
Essex,Attorney General,,Lemington,,Blanks,,5,82056
Addison,Attorney General,,Lincoln,,Blanks,,51,82056
Windham,Attorney General,,Londonderry,,Blanks,,85,82056
Orleans,Attorney General,,Lowell,,Blanks,,26,82056
Windsor,Attorney General,,Ludlow,,Blanks,,81,82056
Essex,Attorney General,,Lunenburg,,Blanks,,38,82056
Caledonia,Attorney General,,Lyndon,,Blanks,,123,82056
Essex,Attorney General,,Maidstone,,Blanks,,10,82056
Bennington,Attorney General,,Manchester,,Blanks,,232,82056
Windham,Attorney General,,Marlboro,,Blanks,,36,82056
Washington,Attorney General,,Marshfield,,Blanks,,48,82056
Rutland,Attorney General,,Mendon,,Blanks,,54,82056
Addison,Attorney General,,Middlebury,,Blanks,,254,82056
Washington,Attorney General,,Middlesex,,Blanks,,80,82056
Rutland,Attorney General,,Middletown Springs,,Blanks,,31,82056
Chittenden,Attorney General,,Milton,Chittenden 10,Blanks,,217,82056
Chittenden,Attorney General,,Milton,Grand Isle-Chittenden,Blanks,,34,82056
Addison,Attorney General,,Monkton,,Blanks,,59,82056
Franklin,Attorney General,,Montgomery,,Blanks,,46,82056
Washington,Attorney General,,Montpelier,,Blanks,,292,82056
Washington,Attorney General,,Moretown,,Blanks,,85,82056
Orleans,Attorney General,,Morgan,,Blanks,,15,82056
Lamoille,Attorney General,,Morristown,,Blanks,,177,82056
Rutland,Attorney General,,Mount Holly,,Blanks,,60,82056
Rutland,Attorney General,,Mount Tabor,,Blanks,,6,82056
Addison,Attorney General,,New Haven,,Blanks,,63,82056
Caledonia,Attorney General,,Newark,,Blanks,,14,82056
Orange,Attorney General,,Newbury,,Blanks,,72,82056
Windham,Attorney General,,Newfane,,Blanks,,85,82056
Orleans,Attorney General,,Newport City,,Blanks,,70,82056
Orleans,Attorney General,,Newport Town,,Blanks,,47,82056
Grand Isle,Attorney General,,North Hero,,Blanks,,21,82056
Washington,Attorney General,,Northfield,,Blanks,,139,82056
Essex,Attorney General,,Norton,,Blanks,,5,82056
Windsor,Attorney General,,Norwich,,Blanks,,206,82056
Orange,Attorney General,,Orange,,Blanks,,27,82056
Addison,Attorney General,,Orwell,,Blanks,,34,82056
Addison,Attorney General,,Panton,,Blanks,,8,82056
Rutland,Attorney General,,Pawlet,,Blanks,,47,82056
Caledonia,Attorney General,,Peacham,,Blanks,,14,82056
Bennington,Attorney General,,Peru,,Blanks,,21,82056
Rutland,Attorney General,,Pittsfield,,Blanks,,19,82056
Rutland,Attorney General,,Pittsford,,Blanks,,116,82056
Washington,Attorney General,,Plainfield,,Blanks,,38,82056
Windsor,Attorney General,,Plymouth,,Blanks,,34,82056
Windsor,Attorney General,,Pomfret,,Blanks,,21,82056
Rutland,Attorney General,,Poultney,,Blanks,,100,82056
Bennington,Attorney General,,Pownal,,Blanks,,145,82056
Rutland,Attorney General,,Proctor,,Blanks,,54,82056
Windham,Attorney General,,Putney,,Blanks,,119,82056
Orange,Attorney General,,Randolph,,Blanks,,135,82056
Windsor,Attorney General,,Reading,,Blanks,,35,82056
Bennington,Attorney General,,Readsboro,,Blanks,,36,82056
Franklin,Attorney General,,Richford,,Blanks,,30,82056
Chittenden,Attorney General,,Richmond,,Blanks,,145,82056
Addison,Attorney General,,Ripton,,Blanks,,29,82056
Windsor,Attorney General,,Rochester,,Blanks,,37,82056
Windham,Attorney General,,Rockingham,,Blanks,,155,82056
Washington,Attorney General,,Roxbury,,Blanks,,17,82056
Windsor,Attorney General,,Royalton,,Blanks,,104,82056
Bennington,Attorney General,,Rupert,,Blanks,,20,82056
Rutland,Attorney General,,Rutland City,Rutland 5-1,Blanks,,170,82056
Rutland,Attorney General,,Rutland City,Rutland 5-2,Blanks,,119,82056
Rutland,Attorney General,,Rutland City,Rutland 5-3,Blanks,,97,82056
Rutland,Attorney General,,Rutland City,Rutland 5-4,Blanks,,117,82056
Rutland,Attorney General,,Rutland Town,,Blanks,,137,82056
Caledonia,Attorney General,,Ryegate,,Blanks,,29,82056
Addison,Attorney General,,Salisbury,,Blanks,,29,82056
Bennington,Attorney General,,Sandgate,,Blanks,,5,82056
Bennington,Attorney General,,Searsburg,,Blanks,,5,82056
Bennington,Attorney General,,Shaftsbury,,Blanks,,130,82056
Windsor,Attorney General,,Sharon,,Blanks,,50,82056
Caledonia,Attorney General,,Sheffield,,Blanks,,17,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-1,Blanks,,167,82056
Chittenden,Attorney General,,Shelburne,Chittenden 5-2,Blanks,,116,82056
Franklin,Attorney General,,Sheldon,,Blanks,,32,82056
Addison,Attorney General,,Shoreham,,Blanks,,57,82056
Rutland,Attorney General,,Shrewsbury,,Blanks,,32,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-1,Blanks,,137,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-2,Blanks,,179,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-3,Blanks,,169,82056
Chittenden,Attorney General,,South Burlington,Chittenden 7-4,Blanks,,129,82056
Grand Isle,Attorney General,,South Hero,,Blanks,,55,82056
Windsor,Attorney General,,Springfield,Windsor 3-1,Blanks,,6,82056
Windsor,Attorney General,,Springfield,Windsor 3-2,Blanks,,249,82056
Franklin,Attorney General,,Saint Albans City,,Blanks,,97,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-1,Blanks,,45,82056
Franklin,Attorney General,,Saint Albans Town,Franklin 3-2,Blanks,,88,82056
Chittenden,Attorney General,,Saint George,,Blanks,,23,82056
Caledonia,Attorney General,,Saint Johnsbury,,Blanks,,118,82056
Bennington,Attorney General,,Stamford,,Blanks,,54,82056
Caledonia,Attorney General,,Stannard,,Blanks,,7,82056
Addison,Attorney General,,Starksboro,,Blanks,,46,82056
Windsor,Attorney General,,Stockbridge,,Blanks,,34,82056
Lamoille,Attorney General,,Stowe,,Blanks,,234,82056
Orange,Attorney General,,Strafford,,Blanks,,36,82056
Windham,Attorney General,,Stratton,,Blanks,,9,82056
Rutland,Attorney General,,Sudbury,,Blanks,,15,82056
Bennington,Attorney General,,Sunderland,Bennington 3,Blanks,,13,82056
Bennington,Attorney General,,Sunderland,Bennington 4,Blanks,,37,82056
Caledonia,Attorney General,,Sutton,,Blanks,,35,82056
Franklin,Attorney General,,Swanton,,Blanks,,83,82056
Orange,Attorney General,,Thetford,,Blanks,,108,82056
Rutland,Attorney General,,Tinmouth,Rutland 2,Blanks,,3,82056
Rutland,Attorney General,,Tinmouth,Rutland-Bennington,Blanks,,7,82056
Orange,Attorney General,,Topsham,,Blanks,,43,82056
Windham,Attorney General,,Townshend,,Blanks,,66,82056
Orleans,Attorney General,,Troy,Orleans 2,Blanks,,0,82056
Orleans,Attorney General,,Troy,Orleans-Lamoille,Blanks,,24,82056
Orange,Attorney General,,Tunbridge,,Blanks,,42,82056
Chittenden,Attorney General,,Underhill,,Blanks,,104,82056
Addison,Attorney General,,Vergennes,,Blanks,,45,82056
Windham,Attorney General,,Vernon,,Blanks,,108,82056
Orange,Attorney General,,Vershire,,Blanks,,25,82056
Essex,Attorney General,,Victory,,Blanks,,3,82056
Washington,Attorney General,,Waitsfield,,Blanks,,94,82056
Caledonia,Attorney General,,Walden,,Blanks,,27,82056
Rutland,Attorney General,,Wallingford,,Blanks,,81,82056
Addison,Attorney General,,Waltham,,Blanks,,15,82056
Windham,Attorney General,,Wardsboro,,Blanks,,29,82056
Washington,Attorney General,,Warren,,Blanks,,83,82056
Orange,Attorney General,,Washington,,Blanks,,34,82056
Washington,Attorney General,,Waterbury,,Blanks,,214,82056
Caledonia,Attorney General,,Waterford,,Blanks,,30,82056
Lamoille,Attorney General,,Waterville,,Blanks,,25,82056
Windsor,Attorney General,,Weathersfield,,Blanks,,104,82056
Rutland,Attorney General,,Wells,,Blanks,,30,82056
Orange,Attorney General,,West Fairlee,,Blanks,,18,82056
Rutland,Attorney General,,West Haven,,Blanks,,15,82056
Rutland,Attorney General,,West Rutland,,Blanks,,50,82056
Windsor,Attorney General,,West Windsor,,Blanks,,51,82056
Orleans,Attorney General,,Westfield,,Blanks,,16,82056
Chittenden,Attorney General,,Westford,,Blanks,,75,82056
Windham,Attorney General,,Westminster,Windham 3,Blanks,,1,82056
Windham,Attorney General,,Westminster,Windham 4,Blanks,,102,82056
Orleans,Attorney General,,Westmore,,Blanks,,9,82056
Windsor,Attorney General,,Weston,,Blanks,,27,82056
Addison,Attorney General,,Weybridge,,Blanks,,30,82056
Caledonia,Attorney General,,Wheelock,,Blanks,,30,82056
Addison,Attorney General,,Whiting,,Blanks,,13,82056
Windham,Attorney General,,Whitingham,Windham 6,Blanks,,59,82056
Windham,Attorney General,,Whitingham,Windham-Bennington,Blanks,,0,82056
Orange,Attorney General,,Williamstown,,Blanks,,82,82056
Chittenden,Attorney General,,Williston,,Blanks,,328,82056
Windham,Attorney General,,Wilmington,,Blanks,,112,82056
Windham,Attorney General,,Windham,,Blanks,,27,82056
Windsor,Attorney General,,Windsor,,Blanks,,124,82056
Bennington,Attorney General,,Winhall,,Blanks,,48,82056
Chittenden,Attorney General,,Winooski,,Blanks,,231,82056
Lamoille,Attorney General,,Wolcott,,Blanks,,46,82056
Washington,Attorney General,,Woodbury,,Blanks,,25,82056
Bennington,Attorney General,,Woodford,,Blanks,,23,82056
Windsor,Attorney General,,Woodstock,,Blanks,,155,82056
Washington,Attorney General,,Worcester,,Blanks,,20,82056
Addison,Attorney General,,Addison,,Total Votes Cast,,788,82056
Orleans,Attorney General,,Albany,,Total Votes Cast,,459,82056
Grand Isle,Attorney General,,Alburgh,,Total Votes Cast,,906,82056
Windsor,Attorney General,,Andover,,Total Votes Cast,,335,82056
Bennington,Attorney General,,Arlington,,Total Votes Cast,,1292,82056
Windham,Attorney General,,Athens,,Total Votes Cast,,167,82056
Franklin,Attorney General,,Bakersfield,,Total Votes Cast,,605,82056
Windsor,Attorney General,,Baltimore,,Total Votes Cast,,129,82056
Windsor,Attorney General,,Barnard,,Total Votes Cast,,576,82056
Caledonia,Attorney General,,Barnet,,Total Votes Cast,,973,82056
Washington,Attorney General,,Barre City,,Total Votes Cast,,3290,82056
Washington,Attorney General,,Barre Town,,Total Votes Cast,,4290,82056
Orleans,Attorney General,,Barton,,Total Votes Cast,,1090,82056
Lamoille,Attorney General,,Belvidere,,Total Votes Cast,,162,82056
Bennington,Attorney General,,Bennington,Bennington 2-1,Total Votes Cast,,3122,82056
Bennington,Attorney General,,Bennington,Bennington 2-2,Total Votes Cast,,3049,82056
Rutland,Attorney General,,Benson,,Total Votes Cast,,512,82056
Franklin,Attorney General,,Berkshire,,Total Votes Cast,,618,82056
Washington,Attorney General,,Berlin,,Total Votes Cast,,1388,82056
Windsor,Attorney General,,Bethel,,Total Votes Cast,,1021,82056
Essex,Attorney General,,Bloomfield,,Total Votes Cast,,112,82056
Chittenden,Attorney General,,Bolton,,Total Votes Cast,,683,82056
Orange,Attorney General,,Bradford,,Total Votes Cast,,1221,82056
Orange,Attorney General,,Braintree,,Total Votes Cast,,605,82056
Rutland,Attorney General,,Brandon,,Total Votes Cast,,1904,82056
Windham,Attorney General,,Brattleboro,Windham 2-1,Total Votes Cast,,2168,82056
Windham,Attorney General,,Brattleboro,Windham 2-2,Total Votes Cast,,1885,82056
Windham,Attorney General,,Brattleboro,Windham 2-3,Total Votes Cast,,1952,82056
Windsor,Attorney General,,Bridgewater,,Total Votes Cast,,526,82056
Addison,Attorney General,,Bridport,,Total Votes Cast,,663,82056
Essex,Attorney General,,Brighton,,Total Votes Cast,,563,82056
Addison,Attorney General,,Bristol,,Total Votes Cast,,1952,82056
Orange,Attorney General,,Brookfield,,Total Votes Cast,,764,82056
Windham,Attorney General,,Brookline,,Total Votes Cast,,296,82056
Orleans,Attorney General,,Brownington,,Total Votes Cast,,400,82056
Essex,Attorney General,,Brunswick,,Total Votes Cast,,58,82056
Caledonia,Attorney General,,Burke,,Total Votes Cast,,833,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-1,Total Votes Cast,,4501,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-2,Total Votes Cast,,2316,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-3,Total Votes Cast,,3662,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-4,Total Votes Cast,,2431,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-5,Total Votes Cast,,4970,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-6,Total Votes Cast,,1125,82056
Chittenden,Attorney General,,Burlington,Chittenden 6-7,Total Votes Cast,,125,82056
Washington,Attorney General,,Cabot,,Total Votes Cast,,799,82056
Washington,Attorney General,,Calais,,Total Votes Cast,,1033,82056
Lamoille,Attorney General,,Cambridge,,Total Votes Cast,,1953,82056
Essex,Attorney General,,Canaan,,Total Votes Cast,,436,82056
Rutland,Attorney General,,Castleton,,Total Votes Cast,,1801,82056
Windsor,Attorney General,,Cavendish,,Total Votes Cast,,703,82056
Orleans,Attorney General,,Charleston,,Total Votes Cast,,471,82056
Chittenden,Attorney General,,Charlotte,,Total Votes Cast,,2623,82056
Orange,Attorney General,,Chelsea,,Total Votes Cast,,672,82056
Windsor,Attorney General,,Chester,,Total Votes Cast,,1565,82056
Rutland,Attorney General,,Chittenden,,Total Votes Cast,,767,82056
Rutland,Attorney General,,Clarendon,,Total Votes Cast,,1262,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-1,Total Votes Cast,,3389,82056
Chittenden,Attorney General,,Colchester,Chittenden 9-2,Total Votes Cast,,4591,82056
Essex,Attorney General,,Concord,,Total Votes Cast,,577,82056
Orange,Attorney General,,Corinth,,Total Votes Cast,,688,82056
Addison,Attorney General,,Cornwall,,Total Votes Cast,,748,82056
Orleans,Attorney General,,Coventry,,Total Votes Cast,,517,82056
Orleans,Attorney General,,Craftsbury,,Total Votes Cast,,698,82056
Rutland,Attorney General,,Danby,,Total Votes Cast,,658,82056
Caledonia,Attorney General,,Danville,,Total Votes Cast,,1348,82056
Orleans,Attorney General,,Derby,,Total Votes Cast,,2226,82056
Bennington,Attorney General,,Dorset,,Total Votes Cast,,1209,82056
Windham,Attorney General,,Dover,,Total Votes Cast,,794,82056
Windham,Attorney General,,Dummerston,,Total Votes Cast,,1164,82056
Washington,Attorney General,,Duxbury,,Total Votes Cast,,799,82056
Essex,Attorney General,,East Haven,,Total Votes Cast,,149,82056
Washington,Attorney General,,East Montpelier,,Total Votes Cast,,1631,82056
Lamoille,Attorney General,,Eden,,Total Votes Cast,,568,82056
Lamoille,Attorney General,,Elmore,,Total Votes Cast,,552,82056
Franklin,Attorney General,,Enosburgh,,Total Votes Cast,,1221,82056
Chittenden,Attorney General,,Essex,Chittenden 8-1,Total Votes Cast,,4807,82056
Chittenden,Attorney General,,Essex,Chittenden 8-2,Total Votes Cast,,5123,82056
Chittenden,Attorney General,,Essex,Chittenden 8-3,Total Votes Cast,,1427,82056
Rutland,Attorney General,,Fair Haven,,Total Votes Cast,,1168,82056
